city,date,retail,grocery,parks,transit,work,home
Bologna,2020-04-23,-79,-35,-70,-76,-60,32
Bologna,2020-04-24,-77,-24,-71,-77,-61,33
Bologna,2020-04-25,-95,-94,-83,-86,-75,30
Bologna,2020-04-26,-92,-64,-81,-86,-53,22
Bologna,2020-04-27,-74,-30,-66,-74,-58,28
Bologna,2020-04-28,-77,-36,-71,-75,-58,31
Bologna,2020-04-29,-76,-31,-69,-74,-57,30
Bologna,2020-04-30,-74,-20,-67,-73,-58,30
Bologna,2020-05-01,-94,-93,-79,-89,-90,47
Bologna,2020-05-02,-81,-34,-74,-76,-54,25
Bologna,2020-05-03,-91,-70,-79,-84,-48,22
Bologna,2020-05-04,-61,-23,-7,-61,-47,20
Bologna,2020-05-05,-63,-25,-15,-61,-48,22
Bologna,2020-05-06,-65,-24,-29,-63,-47,23
Bologna,2020-05-07,-62,-24,-11,-60,-47,22
Bologna,2020-05-08,-63,-21,-20,-63,-47,24
Bologna,2020-05-09,-67,-28,-18,-59,-42,16
Bologna,2020-05-10,-76,-54,-18,-67,-29,12
Bologna,2020-05-11,-60,-27,-35,-63,-45,21
Bologna,2020-05-12,-59,-24,-9,-59,-44,21
Bologna,2020-05-13,-61,-24,-21,-60,-43,21
Bologna,2020-05-14,-60,-24,-23,-61,-44,22
Bologna,2020-05-15,-59,-19,-15,-62,-44,22
Bologna,2020-05-16,-64,-25,-30,-59,-37,16
Bologna,2020-05-17,-70,-46,1,-64,-21,11
Bologna,2020-05-18,-42,-18,-7,-54,-39,16
Bologna,2020-05-19,-45,-18,-21,-55,-39,18
Bologna,2020-05-20,-43,-16,-11,-54,-39,18
Bologna,2020-05-21,-41,-16,16,-51,-39,16
Bologna,2020-05-22,-40,-12,9,-53,-38,17
Bologna,2020-05-23,-43,-17,14,-45,-26,8
Bologna,2020-05-24,-50,-32,7,-57,-10,5
Bologna,2020-05-25,-36,-15,17,-51,-38,14
Bologna,2020-05-26,-36,-15,19,-50,-36,15
Bologna,2020-05-27,-36,-13,18,-49,-36,14
Bologna,2020-05-28,-36,-13,13,-49,-36,15
Bologna,2020-05-29,-39,-12,-14,-53,-37,16
Bologna,2020-05-30,-38,-14,9,-42,-22,6
Bologna,2020-05-31,-45,-28,5,-55,-2,4
Bologna,2020-06-01,-25,3,49,-49,-53,13
Bologna,2020-06-02,-44,-52,80,-57,-78,19
Bologna,2020-06-03,-33,-7,3,-43,-34,12
Bologna,2020-06-04,-38,-11,-34,-49,-35,15
Bologna,2020-06-05,-29,-8,15,-45,-34,12
Bologna,2020-06-06,-31,-14,32,-35,-21,3
Bologna,2020-06-07,-40,-25,2,-49,-2,1
Bologna,2020-06-08,-29,-12,-8,-47,-34,11
Bologna,2020-06-09,-29,-14,-11,-45,-32,12
Bologna,2020-06-10,-26,-11,0,-44,-32,12
Bologna,2020-06-11,-26,-10,-6,-44,-32,12
Bologna,2020-06-12,-23,-8,34,-41,-33,9
Bologna,2020-06-13,-32,-17,6,-37,-17,2
Bologna,2020-06-14,-33,-20,14,-43,7,-1
Bologna,2020-06-15,-26,-11,-2,-43,-32,9
Bologna,2020-06-16,-21,-10,26,-40,-30,10
Bologna,2020-06-17,-22,-10,12,-40,-30,10
Bologna,2020-06-18,-20,-11,34,-37,-31,8
Bologna,2020-06-19,-22,-10,29,-38,-32,7
Bologna,2020-06-20,-27,-17,23,-30,-15,-1
Bologna,2020-06-21,-35,-26,9,-38,8,-5
Bologna,2020-06-22,-21,-11,32,-38,-32,6
Bologna,2020-06-23,-19,-12,38,-37,-31,7
Bologna,2020-06-24,-19,-11,30,-35,-29,7
Bologna,2020-06-25,-20,-10,28,-36,-30,7
Bologna,2020-06-26,-22,-11,24,-35,-31,6
Bologna,2020-06-27,-30,-20,10,-29,-17,-2
Bologna,2020-06-28,-38,-28,-1,-35,12,-6
Bologna,2020-06-29,-20,-9,26,-36,-30,5
Bologna,2020-06-30,-18,-12,29,-35,-29,6
Bologna,2020-07-01,-20,-12,11,-34,-28,6
Bologna,2020-07-02,-19,-12,20,-35,-29,5
Bologna,2020-07-03,-24,-13,-4,-37,-31,7
Bologna,2020-07-04,-27,-18,10,-27,-16,-1
Bologna,2020-07-05,-37,-31,-7,-33,8,-7
Bologna,2020-07-06,-22,-13,18,-34,-31,4
Bologna,2020-07-07,-18,-13,20,-35,-30,6
Bologna,2020-07-08,-19,-16,22,-35,-28,4
Bologna,2020-07-09,-20,-15,16,-35,-29,4
Bologna,2020-07-10,-23,-15,14,-35,-31,4
Bologna,2020-07-11,-34,-23,-19,-28,-16,-1
Bologna,2020-07-12,-33,-25,-6,-32,11,-6
Bologna,2020-07-13,-20,-13,24,-33,-30,3
Bologna,2020-07-14,-18,-15,29,-33,-29,4
Bologna,2020-07-15,-17,-15,13,-34,-28,4
Bologna,2020-07-16,-17,-16,20,-33,-28,4
Bologna,2020-07-17,-21,-14,5,-35,-31,4
Bologna,2020-07-18,-27,-22,4,-22,-15,-3
Bologna,2020-07-19,-34,-30,-5,-31,13,-7
Bologna,2020-07-20,-19,-15,19,-34,-29,2
Bologna,2020-07-21,-19,-17,21,-35,-28,4
Bologna,2020-07-22,-20,-18,9,-34,-28,4
Bologna,2020-07-23,-19,-16,10,-34,-28,3
Bologna,2020-07-24,-25,-19,-19,-37,-31,5
Bologna,2020-07-25,-27,-21,3,-21,-15,-4
Bologna,2020-07-26,-32,-29,-7,-31,12,-7
Bologna,2020-07-27,-18,-14,18,-33,-32,2
Bologna,2020-07-28,-18,-16,15,-35,-30,3
Bologna,2020-07-29,-19,-16,8,-34,-30,3
Bologna,2020-07-30,-19,-17,4,-34,-31,3
Bologna,2020-07-31,-24,-19,-10,-35,-33,3
Bologna,2020-08-01,-29,-24,-16,-21,-21,-3
Bologna,2020-08-02,-33,-27,-18,-31,6,-5
Modena,2020-02-15,5,3,21,7,1,-2
Modena,2020-02-16,-4,7,26,13,0,-1
Modena,2020-02-17,0,4,17,4,1,-1
Modena,2020-02-18,1,4,7,0,0,0
Modena,2020-02-19,1,2,11,2,1,0
Modena,2020-02-20,2,0,33,6,0,-1
Modena,2020-02-21,1,4,5,5,0,0
Modena,2020-02-22,3,8,22,8,2,-1
Modena,2020-02-23,-9,28,33,-2,0,1
Modena,2020-02-24,-9,36,30,-22,-13,6
Modena,2020-02-25,-13,0,33,-26,-14,7
Modena,2020-02-26,-19,-8,-12,-33,-14,8
Modena,2020-02-27,-14,-8,2,-31,-14,7
Modena,2020-02-28,-13,-4,21,-27,-14,7
Modena,2020-02-29,-12,-2,0,-27,-15,5
Modena,2020-03-01,-28,-2,-45,-38,-8,7
Modena,2020-03-02,-14,-6,-19,-32,-11,6
Modena,2020-03-03,-15,-7,-25,-37,-13,7
Modena,2020-03-04,-12,-4,21,-31,-12,6
Modena,2020-03-05,-16,-6,-14,-34,-13,7
Modena,2020-03-06,-17,0,-5,-34,-13,8
Modena,2020-03-07,-18,1,6,-30,-16,7
Modena,2020-03-08,-43,1,35,-36,-13,8
Modena,2020-03-09,-38,-9,-16,-52,-22,13
Modena,2020-03-10,-44,-10,-10,-53,-26,16
Modena,2020-03-11,-49,-13,1,-55,-30,17
Modena,2020-03-12,-67,-19,-44,-64,-36,22
Modena,2020-03-13,-72,-16,-52,-67,-43,26
Modena,2020-03-14,-83,-42,-74,-76,-57,25
Modena,2020-03-15,-89,-61,-58,-80,-53,22
Modena,2020-03-16,-72,-31,-44,-70,-49,25
Modena,2020-03-17,-75,-36,-55,-71,-53,28
Modena,2020-03-18,-76,-38,-61,-73,-53,29
Modena,2020-03-19,-77,-39,-73,-74,-55,30
Modena,2020-03-20,-78,-31,-78,-74,-56,32
Modena,2020-03-21,-86,-51,-87,-80,-62,27
Modena,2020-03-22,-96,-95,-91,-88,-63,24
Modena,2020-03-23,-79,-39,-77,-77,-64,32
Modena,2020-03-24,-80,-43,-80,-77,-65,33
Modena,2020-03-25,-82,-46,-83,-79,-67,35
