date,daily_cases,med_temp,med_hum,pm25,pm10,o3,retail,grocery,parks,transit,work,home,rt1,rt2
2020-06-12,2,19.75,64.3043853191229,25,14,44,-19,-5,46,-36,-26,6,1.16070220652484,1.21854833393783
2020-06-13,1,20.6833333333333,65.8525805073809,30,20,49,-22,-11,66,-23,-15,1,1.17593637838051,1.18126553634821
2020-06-14,0,19.75,81.6370418359738,42,12,44,-25,-17,25,-22,2,1,1.1902377454019,1.11825677744332
2020-06-15,0,19.5,82.5155802015595,38,14,43,-20,-12,10,-41,-25,7,1.20176239395379,1.07887734699399
2020-06-16,2,20.8666666666667,74.4616631970303,38,10,40,-13,-6,46,-35,-24,7,1.21425739191366,1.080867158224
2020-06-17,1,20,79.283770451768,34,11,43,-16,-8,22,-36,-24,7,1.22900328737643,1.01861234617737
2020-06-18,5,20.5333333333333,66.7583513473406,30,13,40,-12,-7,57,-33,-25,6,1.24115065760302,1.02989712267455
2020-06-19,0,19.5666666666667,64.7025129644625,38,16,39,-18,-7,45,-33,-25,6,1.2509731255588,1.02154465297779
2020-06-20,1,21.5,60.5973255522966,46,11,45,-17,-10,104,-12,-13,-1,1.25950650406424,1.03790902382288
2020-06-21,2,23.5,46.937482360452,34,8,55,-22,-19,63,1,4,-4,1.26508663291621,1.07388977868262
2020-06-22,0,25.5,42.590434125374,30,11,49,-14,-9,58,-30,-26,5,1.27371519660183,1.10035151976111
2020-06-23,1,27.75,38.0030606316494,42,14,60,-12,-6,72,-29,-26,5,1.28093655572485,1.16967026864811
2020-06-24,1,24.65,50.7537962219489,42,20,59,-12,-6,54,-28,-24,5,1.28535463023484,1.19666504680632
2020-06-25,0,23,60.8084936113681,53,20,65,-12,-5,52,-32,-24,5,1.2892886106883,1.20962961481628
2020-06-26,1,25.0333333333333,61.2837711758124,55,18,59,-16,-4,60,-26,-26,4,1.2966408597708,1.28320176512571
2020-06-27,0,26.5,56.0189147196181,53,20,70,-19,-12,90,-10,-16,-2,1.29805547590503,1.3582178817298
2020-06-28,2,26.75,62.6285092509952,55,22,60,-26,-19,34,-5,6,-5,1.30048078206158,1.38994346850945
2020-06-29,0,26,64.1683226405775,57,21,50,-12,-6,55,-29,-25,4,1.29861315142947,1.40293076972143
2020-06-30,1,27.25,57.1079037242048,55,16,54,-8,-6,67,-32,-23,4,1.29850143842199,1.50184641843358
2020-07-01,1,25.7333333333333,78.5743408276901,53,19,49,-11,-4,38,-33,-24,5,1.29701511230497,1.53205414929291
2020-07-02,1,24.9666666666667,72.7874255753465,57,14,61,-9,-4,50,-34,-24,4,1.29417447959876,1.63205363136394
2020-07-03,0,24.25,62.0749173687162,50,10,45,-17,-5,33,-35,-25,5,1.29506695807863,1.62910201954842
2020-07-04,0,24.5,57.5074563236852,25,12,50,-16,-10,86,-19,-14,-2,1.29474034405717,1.67823522105363
2020-07-05,1,25.75,60.50340242247,30,16,65,-23,-16,35,-10,2,-5,1.29028700669588,1.64216680524294
2020-07-06,0,27.75,58.0450414738536,42,16,82,-11,-7,56,-33,-25,3,1.28863976358983,1.62846699418643
2020-07-07,0,22.0666666666667,57.3782413553945,46,12,45,-6,-3,83,-32,-25,4,1.28630719157274,1.5994124271627
2020-07-08,1,23.5,49.2889831127025,34,16,59,-9,-7,64,-29,-24,3,1.28541038919273,1.54587412742631
2020-07-09,1,25,53.8432217530453,30,20,85,-8,-5,71,-31,-24,3,1.28186949925343,1.50766108065462
2020-07-10,0,27,56.9794437428327,46,24,90,-14,-5,61,-30,-26,3,1.28184649069321,1.42860860377284
2020-07-11,1,23.5,73.7606516532995,55,15,59,-19,-10,56,-24,-16,0,1.2817624074868,1.408482788103
2020-07-12,5,22.5,54.4442138490836,50,7,43,-17,-12,50,-4,6,-6,1.28021782381398,1.37926199771198
2020-07-13,0,21.75,42.7290053553462,21,10,51,-6,-3,78,-30,-25,3,1.2795021830802,1.35914242822226
2020-07-14,3,21,57.1179910420726,30,15,50,-4,-3,100,-29,-25,3,1.27950545583924,1.31677621485556
2020-07-15,2,22,60.5096217891958,30,14,59,-5,-6,85,-31,-23,3,1.27951840115004,1.31834683228458
2020-07-16,8,23.5,61.6497859311517,38,17,70,-5,-4,81,-34,-24,3,1.27651500740265,1.32045883266209
2020-07-17,2,21.75,75.750328866484,50,12,50,-12,-3,58,-31,-25,4,1.27517352208947,1.29603439036736
2020-07-18,1,22.25,58.6385564119442,42,10,47,-11,-10,118,-16,-15,-3,1.27819211276398,1.24295901453243
2020-07-19,3,23.25,54.3204628470875,25,12,61,-17,-12,66,-7,5,-6,1.27728598178647,1.21069069463651
