date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-05-24,2,23.35,55.0821880552491,55,11,47,13,-47,-35,-2,-32,-12,6,1.8708455023405,0.902729581053152,0.892382307782144,2
2020-05-25,5,25.3,29.0000392758502,38,13,48,30,-32,-16,14,-32,-30,11,1.82580907363826,0.918085872370534,0.905088066739879,2
2020-05-26,1,23.6,35.8127682076932,38,NaN,47,22,-33,-14,14,-32,-29,12,1.78775545515161,0.931850047709707,0.921701969827339,2
2020-05-27,4,23.6,32.204562711066,NaN,15,47,22,-33,-12,15,-32,-30,12,1.75609358673146,0.945586510295005,0.923356035878064,2
2020-05-28,6,24,42.0372218854849,34,20,62,20,-34,-15,11,-34,-29,13,1.73016246083201,0.959726889268399,0.924560681896134,2
2020-05-29,0,19,49.2979514395833,46,10,44,27,-33,-9,11,-33,-29,13,1.70948299345241,0.975243645777866,0.899575629712059,2
2020-05-30,2,22,38.1153994192002,25,12,49,16,-36,-15,26,-19,-17,6,1.69387135692813,0.988676028067422,0.907871416827584,2
2020-05-31,10,22,46.5941359342103,42,13,48,22,-42,-31,8,-32,-7,5,1.68341627345197,1.00519711020029,0.924200316615012,2
2020-06-01,2,25.9,40.5079141722841,46,15,48,28,-21,4,58,-32,-42,11,1.6778636541971,1.01895187047303,0.942541911424708,2
2020-06-02,4,25.75,48.9003531921061,46,14,49,24,-43,-48,147,-45,-76,21,1.67726229676763,1.03534559500958,0.952717083008648,2
2020-06-03,2,24.5,53.7798033106459,42,15,40,25,-26,-4,17,-17,-28,9,1.68157275046807,1.05019898288121,0.965740713429417,2
2020-06-04,1,17,100,38,10,33,21,-33,-10,-32,-33,-29,13,1.69082887399325,1.06343513547061,0.954534503094603,2
2020-06-05,2,24.25,50.7129666845345,38,10,45,24,-20,-6,32,-20,-27,9,1.70507370483387,1.07539831428671,0.970061066541263,2
2020-06-06,2,24.1333333333333,59.2407024481876,25,13,39,20,-20,-10,63,-1,-17,3,1.72393790250927,1.0866461813218,0.965343742957473,2
2020-06-07,3,21.35,79.7793992673982,34,9,29,17,-30,-21,-24,-24,-12,5,1.74705896863765,1.09678798546534,0.953688455282139,2
2020-06-08,3,19,100,21,10,25,NaN,-21,-12,-12,-27,-27,10,1.7742515332824,1.10743228108412,0.941849018487366,2
2020-06-09,1,20.25,85.711486875444,38,12,34,18,-18,-11,4,-24,-25,9,1.80539711390292,1.11837982752531,0.93653877627121,2
2020-06-10,7,18,72.7413674762669,38,11,32,22,-20,-11,-3,-26,-26,10,1.84050215342387,1.12429934647136,0.924129141188298,2
2020-06-11,5,18.5,95.4662081306243,30,19,34,22,-18,-8,-1,-25,-26,10,1.87980113417848,1.12807007586908,0.959407887783749,2
2020-06-12,2,23.35,54.0198220036413,59,16,44,28,-16,-8,38,-18,-25,8,1.92266502895458,1.12821473646712,0.990215166623601,2
2020-06-13,2,24.15,58.9879100272571,50,11,42,11,-20,-12,23,-10,-14,3,1.96804663832956,1.12858057243649,1.02484159626471,2
2020-06-14,0,24.5,59.5905094914069,42,8,40,21,-13,-18,55,1,1,1,2.01506741728335,1.12827493137465,1.03895538877334,2
2020-06-15,0,25,76.55194283585,21,19,44,18,-12,-10,35,-19,-24,6,2.06331084929736,1.12512464132087,1.06808917060021,2
2020-06-16,4,24.8,61.2382213340467,53,17,44,20,-12,-7,31,-19,-23,7,2.11265600256378,1.12190916153631,1.11196348921132,2
2020-06-17,1,20.45,95.1952502462362,42,10,40,14,-15,-7,0,-25,-24,8,2.16246397101565,1.12038541295583,1.14671984698828,2
2020-06-18,6,22.75,58.8939078997034,25,14,36,17,-12,-11,28,-20,-23,7,2.21219333642329,1.11767376170762,1.18866649357192,2
2020-06-19,0,20.6666666666667,71.1943721298984,34,11,39,29,-14,-9,28,-17,-24,6,2.26215885214611,1.11189803573468,1.19053767571693,2
2020-06-20,1,25,42.5549532981022,34,11,45,22,-12,-12,85,9,-12,-1,2.31230016689913,1.1064588693158,1.19609328327074,2
2020-06-21,1,26.95,34.9418570819723,34,10,47,13,-12,-20,81,15,1,-3,2.36161528449811,1.1015307090526,1.18917086030404,2
2020-06-22,1,29.6,30.3456475966396,25,12,48,42,-10,-11,38,-17,-25,5,2.40942741722727,1.09641922167473,1.13079454470439,2
2020-06-23,1,30.1,37.2560350038357,34,20,64,55,-10,-11,44,-18,-25,6,2.45583051151468,1.09218726713114,1.07080202166046,2
2020-06-24,0,28.5,48.5923352821206,50,22,68,29,-10,-10,46,-14,-24,5,2.50095754377243,1.08625095168811,0.973273446067813,2
2020-06-25,1,27,54.8394234696346,55,22,57,24,-11,-10,36,-18,-23,5,2.54481661650769,1.07881547626863,0.886103760888457,2
2020-06-26,0,27.7,51.0073203380084,53,21,65,26,-11,-8,51,-9,-24,4,2.58695999213122,1.0711207429817,0.817756993144901,2
