date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-05-19,16,18.9333333333333,82.848581790096,65,21,36,17,-36,-22,-10,-65,-39,17,6.52568342294822,0.845995386542262,0.87554918745304,18
2020-05-20,11,21.75,64.8734713021105,59,22,57,20,-34,-18,15,-63,-37,16,6.31449097883014,0.848049082536109,0.905406147692386,18
2020-05-21,7,22,56.7878955471358,61,19,59,13,-34,-16,11,-64,-38,16,6.11381513706216,0.850963615953846,0.929073792812656,18
2020-05-22,5,22.75,56.9585882796051,55,25,70,23,-35,-19,16,-62,-37,16,5.92294751395833,0.852223903627335,0.937849402625244,18
2020-05-23,8,21.3,61.7612159141075,65,20,76,22,-37,-24,23,-57,-25,10,5.74122594912816,0.854976618376146,0.925580466279884,18
2020-05-24,3,20.5,67.8410051777618,68,14,54,10,-43,-49,28,-53,-10,8,5.56763407719042,0.856947702398647,0.899777111770031,18
2020-05-25,3,21.25,52.808637679833,42,16,51,27,-29,-19,28,-62,-37,14,5.4018122214508,0.860248200895579,0.872134252396598,18
2020-05-26,6,20.25,50.0267577690449,46,16,51,21,-28,-16,27,-62,-35,14,5.24361228545037,0.861933887438403,0.83222026760477,18
2020-05-27,22,20.5,47.1098586796173,42,14,52,15,-29,-16,29,-60,-34,14,5.09299560124184,0.865304978986633,0.800232509627195,18
2020-05-28,13,20.75,44.9688028628283,38,22,72,21,-30,-15,13,-62,-35,15,4.94954093391652,0.868409102807193,0.795337961271408,18
2020-05-29,11,17.7666666666667,56.3823175912945,57,10,49,16,-29,-16,30,-60,-36,15,4.81299103814274,0.871450382211872,0.807275410145212,18
2020-05-30,10,20,54.5809047819014,38,21,65,14,-30,-21,49,-52,-20,8,4.68348490613907,0.873087538675313,0.822969335951432,18
2020-05-31,6,17.75,68.1721371276247,59,15,52,12,-36,-47,34,-53,0,6,4.56062287104025,0.875072817949983,0.84583851976885,18
2020-06-01,0,21.5,55.4972538630773,55,24,59,17,-9,1,60,-64,-51,15,4.44331012151948,0.876246489350839,0.873846204029956,18
2020-06-02,2,20.8166666666667,56.7230318306586,65,19,61,15,-31,-36,77,-77,-77,24,4.33075129451,0.881083676575167,0.908816114120796,18
2020-06-03,7,20.75,65.5077531099967,57,14,60,21,-27,-13,15,-54,-34,13,4.22254778770173,0.885230924495517,0.899297138958868,18
2020-06-04,2,16.6833333333333,93.8539763707726,46,11,32,17,-32,-13,-36,-59,-36,15,4.11970435663184,0.888271160727362,0.920808975751573,18
2020-06-05,10,20,68.9380280199142,42,10,47,18,-22,-11,32,-52,-34,12,4.0231030985537,0.890516205273022,0.920971816601481,18
2020-06-06,3,21.25,65.4489893706053,34,20,59,11,-25,-18,51,-40,-19,6,3.93192750632735,0.893528771403869,0.925204338776663,18
2020-06-07,2,18.9333333333333,82.6161672631915,57,13,34,9,-33,-39,-25,-41,-6,7,3.84498672238296,0.898537419411644,0.9154061635897,18
2020-06-08,2,16,89.3644873236879,34,9,36,8,-22,-17,-6,-56,-33,12,3.76201196365763,0.90065349974454,0.882051537812503,18
2020-06-09,9,18.5,75.3773941984274,34,12,39,12,-20,-13,23,-55,-31,11,3.68368989427115,0.902908222337508,0.85688929967674,18
2020-06-10,4,17.75,76.4274609316492,38,10,39,18,-24,-19,-8,-54,-32,12,3.60956363676569,0.90602787788208,0.801002751355638,18
2020-06-11,7,17.5,84.2561231869941,34,15,47,9,-16,-12,8,-57,-32,11,3.53869872710848,0.910311315455665,0.769471412531709,18
2020-06-12,11,20.25,66.4400945216596,55,18,60,27,-18,-15,48,-54,-32,10,3.47111690485046,0.91222977149416,0.765842812567438,18
2020-06-13,1,18,87.0987173262584,53,13,47,25,-24,-24,27,-44,-18,5,3.40727668173979,0.915589781673093,0.74959674169405,18
2020-06-14,5,20.75,76.7844006465273,50,10,46,10,-22,-38,40,-35,6,2,3.34673228682287,0.91785970283644,0.746889301804415,18
2020-06-15,2,21.5,79.4197804271992,34,17,53,14,-15,-18,33,-53,-31,9,3.28910179828713,0.92108210729643,0.743023589905588,18
2020-06-16,8,21.25,78.1226741046814,46,12,48,17,-13,-13,44,-56,-29,10,3.23425926590566,0.921272539791221,0.765712645827934,18
2020-06-17,3,19.3833333333333,80.3973628044753,50,11,47,15,-17,-17,22,-55,-30,11,3.18214155772844,0.92261630311453,0.830970968968007,18
2020-06-18,0,21,67.6100370933505,38,14,41,20,-15,-15,24,-55,-30,10,3.13183635636464,0.923865614493449,0.845000587304229,18
2020-06-19,2,20.75,70.0618182552046,34,12,46,17,-16,-17,29,-55,-31,9,3.08268658685833,0.923557199896427,0.910432762794356,18
2020-06-20,0,22.3333333333333,63.0685552029888,13,13,47,28,-19,-22,57,-37,-13,2,3.03476499991866,0.92304733163973,0.934666041516415,18
2020-06-21,3,25.25,36.999637400664,46,10,50,18,-23,-42,24,-26,6,-1,2.98786074132347,0.921477030404895,0.968522990885227,18
2020-06-22,1,26,48.4886558209718,34,12,71,35,-13,-17,23,-51,-32,8,2.9415505607799,0.921602036165208,1.00328382094612,18
2020-06-23,1,26,48.7342478131002,38,17,67,34,-11,-15,33,-54,-31,8,2.89541206057367,0.920127521610676,1.01875441147791,18
2020-06-24,6,26.0833333333333,56.0490149640304,46,22,82,19,-12,-15,36,-54,-29,8,2.84966053042612,0.92030971401178,1.07109924835737,18
2020-06-25,1,24.75,60.8226095284285,55,23,70,12,-12,-15,21,-54,-29,8,2.80429368387309,0.917528051673005,1.10399015554352,18
2020-06-26,3,24.75,67.1482289218769,55,20,71,15,-14,-18,34,-61,-31,7,2.75942208115812,0.916089838473304,1.11828270995237,18
2020-06-27,0,27,63.6126193294695,55,21,74,24,-19,-24,37,-50,-16,1,2.71469756205929,0.916480636038109,1.13827941901065,18
2020-06-28,0,26.5,54.0643343423401,63,15,57,13,-22,-40,18,-54,8,-2,2.66966530571723,0.913461790658071,1.10732072164052,18
2020-06-29,0,26.25,61.9529760694446,59,19,49,12,-8,-16,21,-62,-29,7,2.62497840510007,0.911356376898044,1.05103260098924,18
2020-06-30,1,25.6833333333333,69.5252140397488,53,20,62,12,-9,-17,33,-62,-28,7,2.58049119521199,0.910256928206392,1.02991602323334,18
2020-07-01,5,25.0166666666667,66.2668789692495,59,17,66,15,-9,-18,29,-61,-28,7,2.53572124227002,0.906398241100669,0.994273536575767,18
2020-07-02,3,25.5,69.9977668045205,46,13,61,11,-11,-19,-6,-60,-29,8,2.49098587314163,0.904312069435384,0.959335868546816,18
2020-07-03,4,21.5,70.7940845088481,46,10,63,11,-16,-21,1,-57,-30,8,2.44590560235114,0.901993885763324,0.941551749050214,18
2020-07-04,4,24,64.1333768922498,38,10,48,19,-17,-26,29,-50,-17,0,2.40023985824431,0.899019224746516,0.929677331942798,18
2020-07-05,2,25.5,69.5002162367148,38,17,66,23,-21,-42,6,-52,5,-2,2.35441132694958,0.895849067977824,0.946822813694365,18
2020-07-06,0,28.5,58.3557222746646,59,29,92,18,-11,-19,16,-61,-31,6,2.30847615065384,0.891575428779585,0.96869732037455,18
2020-07-07,3,23.6833333333333,49.5637233106475,76,13,49,9,-7,-17,18,-59,-29,6,2.26222223754015,0.88960561843252,0.97162625656912,18
2020-07-08,4,23,51.0146501495861,25,16,61,13,-11,-22,20,-61,-27,6,2.21549670814569,0.884911228962916,1.0044356039778,18
2020-07-09,0,24.75,65.1284643976186,42,24,88,17,-11,-20,9,-60,-29,6,2.16867168198484,0.88191129580461,1.04598590705637,18
