date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,so2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-05-20,50,21.75,64.8734713021105,25,20,53,16,1,-35,-18,55,-56,-39,18,9.89197680725264,0.926441527458945,0.713182703629833
2020-05-21,8,22,56.7878955471358,55,19,59,15,2,-35,-17,21,-56,-40,18,9.73711453939455,0.928198013669669,0.725213701133117
2020-05-22,13,22.75,56.9585882796051,50,30,58,16,1,-36,-18,34,-55,-40,18,9.59110922940514,0.929667870048837,0.735476413378849
2020-05-23,12,21.3,61.7612159141075,61,20,59,13,1,-41,-27,19,-38,-26,11,9.45142825319502,0.930685109949131,0.762195011836652
2020-05-24,18,20.5,67.8410051777618,30,11,45,16,1,-41,-37,44,-28,-3,6,9.31641173529828,0.931408687112129,0.789052162808019
2020-05-25,21,21.25,52.808637679833,34,NaN,48,17,1,-30,-19,20,-57,-39,16,9.18534571207877,0.931447185460627,0.821233104009169
2020-05-26,0,20.25,50.0267577690449,NaN,NaN,NaN,NaN,NaN,-29,-17,42,-54,-37,16,9.05745087554847,0.929423809647468,0.836944809138067
2020-05-27,6,20.5,47.1098586796173,NaN,NaN,51,17,NaN,-29,-17,70,-55,-37,16,8.93173547138257,0.929835509200651,0.847481000480858
2020-05-28,14,20.75,44.9688028628283,NaN,12,67,24,2,-30,-14,31,-53,-37,16,8.805782495977,0.927540222523407,0.867604535986556
2020-05-29,30,17.7666666666667,56.3823175912945,38,9,48,13,2,-30,-15,41,-52,-38,16,8.67959678342921,0.924576019417522,0.890833520093379
2020-05-30,4,20,54.5809047819014,42,16,58,17,1,-33,-22,57,-29,-20,8,8.55305332443644,0.921842013457957,0.923930655668827
2020-05-31,4,17.75,68.1721371276247,55,6,49,12,1,-35,-31,43,-28,4,5,8.42429842955985,0.918106621280766,0.930530929957612
2020-06-01,3,21.5,55.4972538630773,25,20,59,22,1,-11,5,78,-52,-55,15,8.29266157339106,0.913388629029049,0.959452436383371
2020-06-02,7,20.8166666666667,56.7230318306586,53,19,55,17,1,-34,-35,188,-63,-79,23,8.15762334700628,0.907699683691655,0.982773682381287
2020-06-03,28,20.75,65.5077531099967,61,14,49,21,1,-33,-18,9,-52,-35,15,8.017871105302,0.904443942739245,1.01494929690429
2020-06-04,3,16.6833333333333,93.8539763707726,50,8,26,22,1,-38,-20,-62,-60,-38,18,7.87224634336155,0.900805569428316,1.03763316573964
2020-06-05,8,20,68.9380280199142,34,8,41,20,1,-21,-11,62,-47,-35,13,7.72240607882124,0.896433134432637,1.06101698863673
2020-06-06,4,21.25,65.4489893706053,30,15,46,17,2,-27,-21,66,-28,-18,6,7.57026208856077,0.890225676328602,1.08254362527349
2020-06-07,2,18.9333333333333,82.6161672631915,30,10,25,11,1,-45,-35,-74,-54,-5,10,7.41533048613821,0.887512049380788,1.0742586199673
2020-06-08,10,16,89.3644873236879,25,9,28,20,1,-26,-18,-33,-54,-35,14,7.25583438953906,0.884448684033022,1.06884721026835
2020-06-09,8,18.5,75.3773941984274,34,10,36,18,1,-18,-12,17,-52,-34,13,7.0931455138483,0.88215186731745,1.04521267517352
2020-06-10,2,17.75,76.4274609316492,25,12,30,20,1,-22,-14,6,-52,-34,14,6.92966916996701,0.880033699167643,1.00937691126981
2020-06-11,10,17.5,84.2561231869941,34,10,37,18,1,-20,-11,-11,-51,-34,13,6.76637300207635,0.877623782785057,0.960714306585343
2020-06-12,24,20.25,66.4400945216596,30,14,45,20,1,-18,-14,64,-47,-34,12,6.60389131395606,0.87628436921309,0.907761014658415
2020-06-13,13,18,87.0987173262584,46,11,43,20,1,-27,-24,55,-30,-16,5,6.44233481798476,0.874646765328368,0.859043855819782
2020-06-14,10,20.75,76.7844006465273,42,12,44,13,1,-25,-25,47,-21,9,2,6.28223828222765,0.87521553679974,0.813874098441995
2020-06-15,6,21.5,79.4197804271992,42,20,43,23,1,-20,-18,19,-50,-33,11,6.1242086530703,0.875509608604723,0.76575897364055
2020-06-16,7,21.25,78.1226741046814,55,10,43,19,2,-14,-11,30,-48,-32,11,5.96943014866334,0.876847273881506,0.721982799540743
2020-06-17,43,19.3833333333333,80.3973628044753,50,9,39,19,1,-16,-11,38,-50,-32,12,5.81898749429135,0.879241079453712,0.711413728655341
2020-06-18,6,21,67.6100370933505,30,10,41,25,1,-17,-15,31,-48,-32,11,5.67344412065659,0.87868277389499,0.710425569573071
2020-06-19,7,20.75,70.0618182552046,25,7,43,27,1,-17,-15,58,-45,-33,10,5.53348422797752,0.880122784747163,0.719039085298769
2020-06-20,8,22.3333333333333,63.0685552029888,17,12,63,22,1,-23,-21,88,-24,-13,1,5.39793992079379,0.881222578618783,0.747700414022294
2020-06-21,4,25.25,36.999637400664,30,5,39,17,1,-30,-31,60,-13,10,-3,5.26625980341635,0.880872762069489,0.774941114281679
2020-06-22,5,26,48.4886558209718,5,10,63,27,1,-16,-15,48,-45,-33,9,5.13883179070003,0.88056416814664,0.792033736692056
2020-06-23,4,26,48.7342478131002,30,12,72,23,1,-12,-12,86,-46,-32,9,5.01491871273652,0.882776136602243,0.826012508728611
2020-06-24,1,26.0833333333333,56.0490149640304,34,20,70,21,5,-12,-11,95,-46,-31,9,4.89374788798646,0.883356979993654,0.860672762466573
2020-06-25,4,24.75,60.8226095284285,46,21,61,20,3,-14,-10,44,-46,-30,9,4.77629468488753,0.884983846726047,0.868682948658084
2020-06-26,9,24.75,67.1482289218769,55,15,59,14,2,-16,-14,70,-43,-32,8,4.66309182365306,0.886669456575303,0.888754565151251
2020-06-27,5,27,63.6126193294695,53,21,78,17,1,-26,-24,50,-26,-16,1,4.55394866169974,0.88782417742886,0.877910900121454
2020-06-28,7,26.5,54.0643343423401,57,18,54,15,1,-31,-30,36,-16,13,-3,4.44884576879855,0.887109026785633,0.894781565569749
2020-06-29,3,26.25,61.9529760694446,57,16,50,16,1,-14,-12,39,-47,-31,8,4.34733151295036,0.889019062888263,0.918531950808678
2020-06-30,3,25.6833333333333,69.5252140397488,53,20,49,16,5,-9,-10,64,-47,-30,8,4.24835151636416,0.891763992620394,0.922666678688975
2020-07-01,6,25.0166666666667,66.2668789692495,57,19,59,27,2,-10,-7,63,-48,-29,8,4.15229600425449,0.89448881770417,0.944702208995026
2020-07-02,2,25.5,69.9977668045205,55,18,59,22,3,-12,-9,36,-48,-30,8,4.06044399695947,0.896225115553375,0.956583652493026
2020-07-03,4,21.5,70.7940845088481,55,10,53,17,1,-21,-19,7,-49,-32,10,3.97306683052067,0.898033340347201,0.963344271184981
2020-07-04,4,24,64.1333768922498,13,10,54,19,1,-23,-20,55,-27,-14,-1,3.88954958221345,0.901739526127397,0.981035028264188
2020-07-05,5,25.5,69.5002162367148,61,18,61,18,1,-31,-27,29,-18,8,-4,3.80941728848374,0.903836747580644,0.96735744921881
2020-07-06,2,28.5,58.3557222746646,46,18,89,21,1,-15,-12,29,-46,-32,7,3.73308620781936,0.904656294887843,0.985677482412199
