date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-06-17,16,18.9,82.7442287017499,30,10,22,-18,-10,37,-30,-24,8,12.9645710009463,0.865346100796546,0.824154526364024,13
2020-06-18,41,19.4,68.6265383943818,34,14,22,-16,-9,72,-26,-24,7,12.605794817405,0.866178464109408,0.815856485568314,13
2020-06-19,21,17.35,79.6321302489454,42,10,17,-21,-10,60,-28,-26,7,12.2597677338382,0.867282002009664,0.812907095802356,13
2020-06-20,27,20.4,60.7425470662065,34,6,27,-17,-10,125,-6,-18,1,11.9265059790501,0.868226409738294,0.813262157991447,13
2020-06-21,37,22.15,61.4693043083536,25,7,39,-20,-16,102,5,2,-2,11.6050257051732,0.867317156754994,0.821309147580735,13
2020-06-22,20,24.5,54.1404259442895,30,11,42,-16,-9,98,-26,-24,5,11.2945080175587,0.8684998142412,0.822862013891836,13
2020-06-23,6,26.9,50.2687253085343,30,16,47,-13,-7,120,-24,-25,6,10.9924990735552,0.869322511758426,0.83090934750679,13
2020-06-24,14,26.075,57.8724677858894,42,14,11,-14,-7,101,-24,-23,5,10.6988301574038,0.869730769358739,0.822725250836771,13
2020-06-25,24,24.5,64.6789972636845,46,16,13,-15,-5,73,-26,-23,6,10.4148150372579,0.871360000854065,0.820367267187301,13
2020-06-26,27,24.525,61.360467854783,46,11,49,-16,-6,111,-22,-25,5,10.1400638870983,0.87217088950115,0.8314407670581,13
2020-06-27,14,26,59.0998010397424,50,16,48,-19,-12,129,-9,-21,0,9.87467477839044,0.874416926812324,0.838467500919972,13
2020-06-28,27,26.025,61.736583538437,59,13,43,-22,-16,90,0,3,-3,9.61842404147085,0.875076756546388,0.849723658721055,13
2020-06-29,9,26.925,58.8519306045977,55,15,51,-14,-5,107,-26,-23,4,9.37146535903111,0.87804527201173,0.867723174648687,13
2020-06-30,6,27,62.0078347538154,53,15,26,-10,-6,118,-25,-22,5,9.13318843939035,0.880643157940092,0.884720196927027,13
2020-07-01,18,26.15,71.4291339107719,55,25,22,-12,-6,76,-28,-22,5,8.90427529026773,0.884054802705706,0.905460004895642,13
2020-07-02,9,25.05,71.0207320316905,61,11,22,-12,-6,84,-27,-23,5,8.6861297481118,0.887033054925766,0.908256813071246,13
2020-07-03,15,23.875,65.0714560988448,50,2,18,-17,-6,64,-29,-24,6,8.479181932115,0.889552327971877,0.91387292389554,13
2020-07-04,13,24.575,62.4764212207415,25,NaN,22,-15,-10,126,-11,-21,0,8.28293020488907,0.892907226705203,0.929991990004948,13
2020-07-05,6,26.4,61.3427059841998,34,4,41,-19,-15,99,0,1,-4,8.09611630927578,0.896536149232383,0.930688160003155,13
2020-07-06,10,27.5,63.6678006480481,46,28,30,-14,-7,112,-24,-23,3,7.91851956805451,0.898676724161388,0.919629559658816,13
2020-07-07,17,24.425,56.1558057034328,57,2,7,-7,-4,129,-22,-23,4,7.7505286311711,0.901777575632792,0.911811955995102,13
2020-07-08,9,24.55,52.9415674589556,38,6,24,-10,-8,119,-22,-22,4,7.59106783199153,0.904919193214017,0.897010321860371,13
2020-07-09,14,26.3,54.2345452039136,38,15,32,-11,-7,110,-23,-22,3,7.43954390595915,0.908083685563493,0.87892193948797,13
2020-07-10,17,27.75,59.5654948485621,57,12,33,-13,-6,129,-20,-24,3,7.29607853505885,0.912725558568064,0.884039140911511,13
2020-07-11,16,23.9,73.6495816706519,53,20,15,-18,-11,74,-16,-21,2,7.16056257257693,0.915364106634106,0.880809379621424,13
2020-07-12,6,23.425,54.7700701940157,55,NaN,6,-16,-13,103,6,4,-4,7.03365206399749,0.918577184174633,0.885243528300043,13
2020-07-13,13,23.175,46.4251913564485,21,NaN,9,-9,-4,121,-21,-23,3,6.91483562575687,0.920133494601452,0.907894455550053,13
2020-07-14,7,22.675,55.6832423870252,25,2,14,-5,-3,137,-20,-23,3,6.80304520323934,0.920726981489865,0.923726904477155,13
2020-07-15,8,23,64.5611448834722,30,16,21,-7,-7,108,-23,-21,4,6.6971864485122,0.922037236410411,0.946478876235381,13
2020-07-16,5,24.35,61.0842137800591,42,4,47,-6,-5,119,-21,-21,3,6.59574796789298,0.921730244027265,0.974292853338615,13
2020-07-17,13,23.7,63.5402083133808,70,7,19,-11,-4,110,-22,-23,3,6.49851259127612,0.924411482845165,0.995629778090737,13
2020-07-18,9,23.375,57.4073074268268,53,NaN,22,-10,-10,148,-3,-19,-2,6.40530831405753,0.9251688993363,1.02701662644363,13
2020-07-19,6,25.175,52.0048491267921,21,1,30,-14,-13,115,9,5,-5,6.31731898533469,0.926036221430695,1.06236636063484,13
2020-07-20,5,26.25,58.2879783791053,30,9,27,-8,-4,150,-21,-21,2,6.23503789575558,0.925813829670219,1.08120255879444,13
2020-07-21,7,25.5,64.2815909476918,50,3,27,-5,-5,171,-20,-21,3,6.15794237138154,0.925565992816164,1.10186956992557,13
2020-07-22,10,26.55,60.8781728173884,57,3,29,-7,-7,129,-23,-21,3,6.08559698946687,0.926964515651787,1.11498167136806,13
2020-07-23,6,25.325,70.8255685180501,57,5,21,-6,-4,133,-22,-21,2,6.01763035508756,0.927724309084236,NaN,13
2020-07-24,7,21.8,71.6214627908854,50,NaN,23,-13,-5,77,-27,-24,5,5.95508321570324,0.928924659734822,NaN,13
2020-07-25,16,23.65,64.6399798144933,34,4,18,-9,-10,155,-5,-19,-2,5.89880818077688,0.930380525229369,NaN,13
2020-07-26,9,25.05,57.973826315678,25,3,37,-12,-10,110,7,6,-5,5.84906275052322,0.931195722367426,NaN,13
2020-07-27,2,26.175,69.7209405168028,42,30,35,-6,-3,161,-20,-23,2,5.80606470325005,0.931314587073773,NaN,13
2020-07-28,3,28.45,62.9231186395759,53,34,42,-4,-4,180,-20,-22,3,5.76965980035319,0.931852811886276,NaN,13
2020-07-29,12,28.475,62.5555352826558,61,32,41,-5,-5,162,-21,-23,3,5.73923041026208,0.932721825427169,NaN,13
2020-07-30,17,28.85,64.0439892078291,65,34,57,-6,-5,137,-20,-23,2,5.71436152373416,0.932603224406752,NaN,13
2020-07-31,6,29.2,65.3237564500769,68,34,76,-9,-5,144,-19,-25,2,5.6954386161303,0.932455101814425,NaN,13
2020-08-01,11,29.65,61.8232704271295,70,NaN,NaN,-14,-13,132,-6,-23,-2,5.68246742054748,0.933776189923903,NaN,13
