date,daily_cases,med_temp,med_hum,pm25,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-04-14,210,12.7,68.1055881001161,42,-81,-42,-73,-77,-69,33,99.1374016810327,0.683220696471102,0.977377475955202,21
2020-04-15,317,10.45,61.8046157978576,42,-81,-42,-75,-78,-68,33,92.4086557985583,0.681098549535638,0.960385130415419,21
2020-04-16,460,12.7,62.5149424151757,25,-80,-40,-74,-77,-67,34,86.1336339301835,0.680233026944461,0.940367602457775,21
2020-04-17,387,14.05,61.2860145149193,50,-81,-38,-72,-77,-67,35,80.2645149013945,0.680731323893525,0.928227009070264,21
2020-04-18,288,14.35,70.3566304680801,46,-85,-50,-81,-76,-57,26,74.7685679326458,0.681462839933884,0.918435851399064,21
2020-04-19,353,13.7,98.1139307804867,50,-95,-83,-90,-85,-58,23,69.6421925537692,0.684068000390467,0.907627536413666,21
2020-04-20,134,10,100,53,-83,-54,-84,-82,-67,32,64.8792424265269,0.68448309879356,0.891309845642877,21
2020-04-21,332,7.9,100,42,-81,-46,-79,-79,-67,33,60.4682917680672,0.686783829641115,0.871364182325813,21
2020-04-22,414,11.75,48.3839735602095,30,-79,-40,-71,-76,-65,32,56.3804714979573,0.690214413540878,0.856114611994194,21
2020-04-23,217,13,53.1768867605573,46,-78,-37,-71,-76,-65,32,52.5902780234128,0.692304450179721,0.839700632254433,21
2020-04-24,374,15.75,56.945285409141,55,-76,-26,-65,-73,-64,33,49.0876318529868,0.696036776614764,0.822308613016832,21
2020-04-25,321,14.75,75.5297939779561,55,-96,-95,-85,-86,-73,30,45.8515420741709,0.701388388924308,0.811783467466713,21
2020-04-26,263,13.2,98.8949274450557,53,-93,-69,-88,-82,-52,22,42.8622661193281,0.707008183369115,0.798379065062207,21
2020-04-27,125,13,100,42,-76,-37,-76,-76,-63,30,40.112178821042,0.712756515902521,0.779708295008958,21
2020-04-28,240,11.225,100,38,-80,-44,-78,-78,-64,32,37.5898937465555,0.720094002052344,0.756342432512943,21
2020-04-29,275,13.3,82.2688709343412,17,-76,-32,-65,-73,-62,30,35.2770158955305,0.725969409164697,0.728482114229733,21
2020-04-30,259,12.45,97.1509331590832,21,-74,-24,-70,-73,-62,30,33.1595838860123,0.731418327480898,0.703311956816085,21
2020-05-01,213,11.9,86.6984859864567,30,-95,-94,-80,-89,-89,46,31.2199015599998,0.738429218621531,0.685187118289619,21
2020-05-02,292,14.2,58.5844033205373,25,-80,-40,-73,-72,-51,24,29.4357451549784,0.746518311018776,0.685342709870858,21
2020-05-03,191,15.3,56.2814654728358,13,-92,-72,-78,-77,-45,21,27.7947504311787,0.754039369176492,0.688247956603405,21
2020-05-04,122,15.95,61.3092557475009,17,-62,-26,-11,-60,-50,21,26.2915763497326,0.761773777050932,0.696919353734093,21
2020-05-05,102,16,74.7088138292064,30,-63,-26,-8,-60,-51,22,24.9166016828182,0.770253610152488,0.714066677394146,21
2020-05-06,98,15.55,87.3156418400021,42,-65,-27,-13,-61,-50,23,23.6574316639928,0.776588836012743,0.732159077193132,21
2020-05-07,88,16.1,60.7589342086164,42,-63,-26,-11,-60,-50,23,22.5043534258014,0.782391543104838,0.755663597649041,21
2020-05-08,116,16,64.9546974790359,42,-65,-25,-14,-60,-49,24,21.4443019799048,0.788063574072517,0.771563511903755,21
2020-05-09,108,15.25,58.0086846956699,46,-68,-34,-21,-54,-36,16,20.46324571552,0.794195545240789,0.78562776240119,21
2020-05-10,66,13.2,100,42,-80,-59,-51,-64,-27,15,19.5526624117926,0.801540801042464,0.797461238387561,21
2020-05-11,66,11.8,100,38,-62,-34,-46,-63,-48,22,18.7079276950995,0.807793752457622,0.801542486955878,21
