date,region,positive,total
20200708,Bologna,17,1692
20200709,Bologna,14,5343
20200710,Bologna,23,1815
20200711,Bologna,20,1819
20200712,Bologna,19,796
20200714,Bologna,5,1889
20200716,Bologna,17,1648
20200717,Bologna,21,2243
20200718,Bologna,8,955
20200719,Bologna,3,161
20200720,Bologna,7,384
20200721,Bologna,7,2093
20200722,Bologna,16,2172
20200723,Bologna,26,2640
20200724,Bologna,14,1333
20200725,Bologna,6,820
20200726,Bologna,25,1287
20200727,Bologna,6,878
20200728,Bologna,5,2037
20200729,Bologna,13,3862
20200730,Bologna,2,650
20200731,Bologna,10,3050
20200801,Bologna,15,2789
20200225,Rimini,1,30
20200226,Rimini,2,18
20200227,Rimini,3,27
20200228,Rimini,3,15
20200229,Rimini,6,23
20200301,Rimini,1,4
20200302,Rimini,3,11
20200304,Rimini,9,35
20200305,Rimini,35,87
20200306,Rimini,25,37
20200307,Rimini,11,37
20200308,Rimini,9,39
20200309,Rimini,51,139
20200310,Rimini,42,168
20200311,Rimini,39,217
20200312,Rimini,67,309
20200313,Rimini,51,192
20200314,Rimini,35,115
20200315,Rimini,27,121
20200316,Rimini,84,204
20200318,Rimini,104,167
20200319,Rimini,78,326
20200320,Rimini,66,211
20200321,Rimini,69,362
20200322,Rimini,116,464
20200323,Rimini,93,302
20200324,Rimini,49,159
20200325,Rimini,52,294
20200326,Rimini,53,303
20200327,Rimini,75,525
20200328,Rimini,59,385
20200331,Rimini,25,163
20200401,Rimini,38,209
20200402,Rimini,11,41
20200403,Rimini,55,292
20200404,Rimini,12,67
20200405,Rimini,30,159
20200406,Rimini,22,103
20200407,Rimini,9,101
20200408,Rimini,12,93
20200409,Rimini,17,128
20200410,Rimini,38,351
20200411,Rimini,26,301
20200412,Rimini,29,310
20200413,Rimini,21,144
20200414,Rimini,13,119
20200415,Rimini,9,138
20200416,Rimini,25,326
20200417,Rimini,17,231
20200418,Rimini,14,176
20200419,Rimini,13,128
20200420,Rimini,28,421
20200421,Rimini,6,143
20200422,Rimini,22,386
20200423,Rimini,37,675
20200424,Rimini,16,347
20200425,Rimini,7,158
20200426,Rimini,3,63
20200427,Rimini,16,230
20200428,Rimini,20,604
20200429,Rimini,17,276
20200430,Rimini,15,347
20200501,Rimini,4,104
20200502,Rimini,13,244
20200503,Rimini,5,149
20200504,Rimini,9,190
20200505,Rimini,7,402
20200506,Rimini,1,53
20200507,Rimini,10,499
20200508,Rimini,2,87
20200509,Rimini,12,545
20200510,Rimini,1,55
20200511,Rimini,5,186
20200512,Rimini,3,258
20200513,Rimini,2,188
20200514,Rimini,4,245
20200515,Rimini,4,363
20200516,Rimini,5,332
20200517,Rimini,5,283
20200518,Rimini,1,79
20200519,Rimini,5,459
20200520,Rimini,4,493
20200521,Rimini,6,516
20200522,Rimini,9,669
20200523,Rimini,12,1263
20200525,Rimini,4,318
20200526,Rimini,4,612
20200527,Rimini,3,696
20200528,Rimini,5,617
20200529,Rimini,2,327
20200530,Rimini,2,446
20200602,Rimini,2,450
20200605,Rimini,2,640
20200606,Rimini,1,235
20200607,Rimini,1,343
20200608,Rimini,1,251
20200609,Rimini,3,1087
20200610,Rimini,1,325
20200611,Rimini,2,795
20200612,Rimini,1,252
20200616,Rimini,1,477
20200617,Rimini,1,682
20200618,Rimini,2,539
20200619,Rimini,2,589
20200620,Rimini,4,902
20200621,Rimini,1,184
20200625,Rimini,1,167
20200627,Rimini,10,1040
20200628,Rimini,3,489
20200630,Rimini,1,305
20200701,Rimini,1,243
20200702,Rimini,1,180
20200704,Rimini,1,108
20200706,Rimini,2,125
20200707,Rimini,7,1496
20200708,Rimini,7,697
20200709,Rimini,1,382
20200710,Rimini,1,79
20200711,Rimini,2,182
20200712,Rimini,2,84
20200713,Rimini,1,112
20200714,Rimini,1,378
20200715,Rimini,3,664
20200718,Rimini,1,119
20200720,Rimini,3,164
20200721,Rimini,4,1196
20200722,Rimini,10,1357
20200723,Rimini,11,1117
20200724,Rimini,8,762
20200725,Rimini,3,410
20200726,Rimini,5,257
20200727,Rimini,4,585
20200728,Rimini,9,3667
20200729,Rimini,4,1188
20200730,Rimini,6,1949
20200731,Rimini,4,1220
20200801,Rimini,2,372
20200229,Roma,3,68
20200302,Roma,1,49
20200303,Roma,7,104
20200304,Roma,15,111
20200305,Roma,13,167
20200306,Roma,7,139
20200307,Roma,22,209
20200308,Roma,6,189
20200312,Roma,63,2521
20200313,Roma,56,654
20200314,Roma,70,739
20200315,Roma,66,844
20200316,Roma,58,657
20200317,Roma,74,93
20200318,Roma,104,1519
20200320,Roma,77,1142
20200322,Roma,156,3198
20200323,Roma,122,409
20200325,Roma,141,1873
20200326,Roma,139,1498
20200327,Roma,136,912
20200328,Roma,136,1990
20200329,Roma,106,298
20200330,Roma,123,3017
20200331,Roma,118,1194
20200401,Roma,74,496
20200402,Roma,133,4537
20200403,Roma,110,1450
20200404,Roma,117,632
20200406,Roma,55,1024
20200407,Roma,61,726
20200408,Roma,80,4266
20200409,Roma,116,2131
20200410,Roma,88,2093
20200411,Roma,105,2604
20200412,Roma,96,2922
20200413,Roma,116,3576
20200414,Roma,129,1718
