region,date,import_status,confirm
Reggio_Emilia,2020-05-22,local,5
Reggio_Emilia,2020-05-23,local,3
Reggio_Emilia,2020-05-24,local,7
Reggio_Emilia,2020-05-25,local,0
Reggio_Emilia,2020-05-26,local,4
Reggio_Emilia,2020-05-27,local,1
Reggio_Emilia,2020-05-28,local,1
Reggio_Emilia,2020-05-29,local,10
Reggio_Emilia,2020-05-30,local,2
Reggio_Emilia,2020-05-31,local,1
Reggio_Emilia,2020-06-01,local,2
Reggio_Emilia,2020-06-02,local,2
Reggio_Emilia,2020-06-03,local,0
Reggio_Emilia,2020-06-04,local,4
Reggio_Emilia,2020-06-05,local,0
Reggio_Emilia,2020-06-06,local,1
Reggio_Emilia,2020-06-07,local,2
Reggio_Emilia,2020-06-08,local,3
Reggio_Emilia,2020-06-09,local,3
Reggio_Emilia,2020-06-10,local,1
Reggio_Emilia,2020-06-11,local,0
Reggio_Emilia,2020-06-12,local,0
Reggio_Emilia,2020-06-13,local,2
Reggio_Emilia,2020-06-14,local,2
Reggio_Emilia,2020-06-15,local,1
Reggio_Emilia,2020-06-16,local,1
Reggio_Emilia,2020-06-17,local,3
Reggio_Emilia,2020-06-18,local,2
Reggio_Emilia,2020-06-19,local,4
Reggio_Emilia,2020-06-20,local,3
Reggio_Emilia,2020-06-21,local,3
Reggio_Emilia,2020-06-22,local,4
Reggio_Emilia,2020-06-23,local,0
Reggio_Emilia,2020-06-24,local,0
Reggio_Emilia,2020-06-25,local,3
Reggio_Emilia,2020-06-26,local,0
Reggio_Emilia,2020-06-27,local,23
Reggio_Emilia,2020-06-28,local,0
Reggio_Emilia,2020-06-29,local,0
Reggio_Emilia,2020-06-30,local,5
Reggio_Emilia,2020-07-01,local,0
Reggio_Emilia,2020-07-02,local,1
Reggio_Emilia,2020-07-03,local,1
Reggio_Emilia,2020-07-04,local,2
Reggio_Emilia,2020-07-05,local,2
Reggio_Emilia,2020-07-06,local,1
Reggio_Emilia,2020-07-07,local,2
Reggio_Emilia,2020-07-08,local,6
Reggio_Emilia,2020-07-09,local,0
Reggio_Emilia,2020-07-10,local,0
Reggio_Emilia,2020-07-11,local,4
Reggio_Emilia,2020-07-12,local,7
Reggio_Emilia,2020-07-13,local,3
Reggio_Emilia,2020-07-14,local,0
Reggio_Emilia,2020-07-15,local,1
Reggio_Emilia,2020-07-16,local,9
Reggio_Emilia,2020-07-17,local,6
Reggio_Emilia,2020-07-18,local,9
Reggio_Emilia,2020-07-19,local,11
Reggio_Emilia,2020-07-20,local,6
Reggio_Emilia,2020-07-21,local,3
Reggio_Emilia,2020-07-22,local,3
Reggio_Emilia,2020-07-23,local,2
Reggio_Emilia,2020-07-24,local,12
Reggio_Emilia,2020-07-25,local,5
Reggio_Emilia,2020-07-26,local,3
Reggio_Emilia,2020-07-27,local,5
Reggio_Emilia,2020-07-28,local,4
Reggio_Emilia,2020-07-29,local,2
Reggio_Emilia,2020-07-30,local,0
Reggio_Emilia,2020-07-31,local,6
Reggio_Emilia,2020-08-01,local,12
Modena,2020-02-24,local,0
Modena,2020-02-25,local,3
Modena,2020-02-26,local,5
Modena,2020-02-27,local,10
Modena,2020-02-28,local,0
Modena,2020-02-29,local,4
Modena,2020-03-01,local,2
Modena,2020-03-02,local,5
Modena,2020-03-03,local,4
Modena,2020-03-04,local,8
Modena,2020-03-05,local,4
Modena,2020-03-06,local,28
Modena,2020-03-07,local,9
Modena,2020-03-08,local,15
Modena,2020-03-09,local,19
Modena,2020-03-10,local,11
Modena,2020-03-11,local,36
Modena,2020-03-12,local,27
Modena,2020-03-13,local,61
Modena,2020-03-14,local,55
Modena,2020-03-15,local,61
Modena,2020-03-16,local,73
Modena,2020-03-17,local,20
Modena,2020-03-18,local,115
Modena,2020-03-19,local,88
Modena,2020-03-20,local,104
Modena,2020-03-21,local,139
Modena,2020-03-22,local,104
Modena,2020-03-23,local,145
Modena,2020-03-24,local,199
Modena,2020-03-25,local,179
Modena,2020-03-26,local,143
Modena,2020-03-27,local,96
Modena,2020-03-28,local,150
Modena,2020-03-29,local,172
Modena,2020-03-30,local,43
Modena,2020-03-31,local,85
Modena,2020-04-01,local,75
Modena,2020-04-02,local,119
Modena,2020-04-03,local,82
Modena,2020-04-04,local,53
Modena,2020-04-05,local,58
Modena,2020-04-06,local,82
Modena,2020-04-07,local,67
Modena,2020-04-08,local,53
Modena,2020-04-09,local,56
Modena,2020-04-10,local,63
Modena,2020-04-11,local,81
Modena,2020-04-12,local,76
Modena,2020-04-13,local,45
Modena,2020-04-14,local,48
Modena,2020-04-15,local,37
Modena,2020-04-16,local,45
Modena,2020-04-17,local,39
Modena,2020-04-18,local,39
Modena,2020-04-19,local,50
Modena,2020-04-20,local,21
Modena,2020-04-21,local,38
Modena,2020-04-22,local,23
Modena,2020-04-23,local,18
Modena,2020-04-24,local,29
Modena,2020-04-25,local,19
Modena,2020-04-26,local,24
Modena,2020-04-27,local,16
Modena,2020-04-28,local,31
Modena,2020-04-29,local,21
Modena,2020-04-30,local,27
Modena,2020-05-01,local,21
Modena,2020-05-02,local,26
Modena,2020-05-03,local,33
Modena,2020-05-04,local,10
Modena,2020-05-05,local,11
Modena,2020-05-06,local,8
Modena,2020-05-07,local,6
Modena,2020-05-08,local,7
Modena,2020-05-09,local,13
Modena,2020-05-10,local,8
Modena,2020-05-11,local,23
Modena,2020-05-12,local,7
Modena,2020-05-13,local,7
Modena,2020-05-14,local,2
Modena,2020-05-15,local,10
Modena,2020-05-16,local,8
Modena,2020-05-17,local,14
Modena,2020-05-18,local,5
Modena,2020-05-19,local,3
Modena,2020-05-20,local,1
Modena,2020-05-21,local,4
Modena,2020-05-22,local,11
Modena,2020-05-23,local,0
Modena,2020-05-24,local,1
Modena,2020-05-25,local,1
Modena,2020-05-26,local,2
Modena,2020-05-27,local,1
Modena,2020-05-28,local,8
Modena,2020-05-29,local,1
Modena,2020-05-30,local,2
Modena,2020-05-31,local,5
Modena,2020-06-01,local,1
Modena,2020-06-02,local,1
Modena,2020-06-03,local,4
Modena,2020-06-04,local,0
Modena,2020-06-05,local,2
Modena,2020-06-06,local,2
Modena,2020-06-07,local,1
Modena,2020-06-08,local,0
Modena,2020-06-09,local,0
Modena,2020-06-10,local,1
Modena,2020-06-11,local,1
Modena,2020-06-12,local,1
Modena,2020-06-13,local,2
Modena,2020-06-14,local,0
Modena,2020-06-15,local,1
Modena,2020-06-16,local,2
Modena,2020-06-17,local,1
Modena,2020-06-18,local,2
Modena,2020-06-19,local,1
Modena,2020-06-20,local,2
Modena,2020-06-21,local,2
Modena,2020-06-22,local,0
Modena,2020-06-23,local,1
Modena,2020-06-24,local,0
Modena,2020-06-25,local,1
Modena,2020-06-26,local,0
Modena,2020-06-27,local,42
Modena,2020-06-28,local,0
Modena,2020-06-29,local,3
Modena,2020-06-30,local,0
Modena,2020-07-01,local,4
Modena,2020-07-02,local,1
Modena,2020-07-03,local,2
Modena,2020-07-04,local,3
Modena,2020-07-05,local,7
Modena,2020-07-06,local,5
Modena,2020-07-07,local,3
Modena,2020-07-08,local,3
Modena,2020-07-09,local,1
Modena,2020-07-10,local,9
Modena,2020-07-11,local,4
Modena,2020-07-12,local,20
Modena,2020-07-13,local,2
Modena,2020-07-14,local,3
Modena,2020-07-15,local,1
Modena,2020-07-16,local,13
Modena,2020-07-17,local,4
Modena,2020-07-18,local,6
Modena,2020-07-19,local,8
Modena,2020-07-20,local,7
Modena,2020-07-21,local,3
Modena,2020-07-22,local,13
Modena,2020-07-23,local,6
Modena,2020-07-24,local,12
Modena,2020-07-25,local,12
Modena,2020-07-26,local,7
Modena,2020-07-27,local,8
Modena,2020-07-28,local,1
Modena,2020-07-29,local,5
Modena,2020-07-30,local,9
Modena,2020-07-31,local,3
Modena,2020-08-01,local,3
Bologna,2020-02-24,local,0
Bologna,2020-02-25,local,0
Bologna,2020-02-26,local,0
Bologna,2020-02-27,local,0
Bologna,2020-02-28,local,0
Bologna,2020-02-29,local,2
Bologna,2020-03-01,local,0
Bologna,2020-03-02,local,1
Bologna,2020-03-03,local,3
Bologna,2020-03-04,local,5
Bologna,2020-03-05,local,8
Bologna,2020-03-06,local,22
Bologna,2020-03-07,local,8
Bologna,2020-03-08,local,13
Bologna,2020-03-09,local,18
Bologna,2020-03-10,local,6
Bologna,2020-03-11,local,22
Bologna,2020-03-12,local,14
Bologna,2020-03-13,local,33
Bologna,2020-03-14,local,40
Bologna,2020-03-15,local,35
Bologna,2020-03-16,local,61
Bologna,2020-03-17,local,42
Bologna,2020-03-18,local,62
Bologna,2020-03-19,local,70
Bologna,2020-03-20,local,87
Bologna,2020-03-21,local,58
Bologna,2020-03-22,local,64
Bologna,2020-03-23,local,159
Bologna,2020-03-24,local,135
Bologna,2020-03-25,local,139
