date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,state
2020-06-19,7,20.25,67.4926254812017,25,8,28,-13,-8,63,-55,-31,8,4.65006870104067,0.849110102672406,0.694175602859206,Lombardia
2020-06-20,5,21.5,57.0245862491538,30,9,20,-17,-15,86,-44,-15,2,4.50166182071564,0.853921678457327,0.707981143176628,Lombardia
2020-06-21,3,24.5,33.264196027822,21,5,22,-19,-22,71,-48,5,-1,4.36173866377009,0.857834819554919,0.724939875043464,Lombardia
2020-06-22,18,26,36.7021851385862,21,6,22,-15,-14,52,-56,-31,8,4.22999601548681,0.864930038518327,0.75413840827222,Lombardia
2020-06-23,2,25.25,49.1124771363613,30,10,26,-11,-12,76,-52,-30,8,4.1060948607231,0.872476275053677,0.763110012484952,Lombardia
2020-06-24,0,26,54.848969315128,30,19,22,-14,-9,52,-51,-29,8,3.99083051016453,0.877677430124746,0.774196871047109,Lombardia
2020-06-25,1,24.0666666666667,57.3647182088599,55,20,19,-13,-9,34,-52,-29,8,3.88496775953816,0.884557219449174,0.764245260652594,Lombardia
2020-06-26,8,23.25,70.3016128330925,63,20,17,-14,-9,39,-54,-30,8,3.7872983246989,0.88979270345037,0.758431772817817,Lombardia
2020-06-27,10,23.75,70.316133148599,70,14,17,-19,-14,54,-44,-18,2,3.69685861827672,0.89666971997254,0.756667947363425,Lombardia
2020-06-28,3,25.5,60.5654597470695,50,12,14,-20,-22,53,-48,8,-2,3.61315526917561,0.904565000831144,0.772265332213837,Lombardia
2020-06-29,5,26,62.7342457811195,50,16,15,-10,-9,51,-53,-32,8,3.53609420359706,0.913091182606362,0.78301625966067,Lombardia
2020-06-30,3,24.25,73.8815637541255,46,20,17,-9,-12,67,-49,-27,7,3.46615270928603,0.918401649114037,0.801827602209828,Lombardia
2020-07-01,1,22.8333333333333,80.523771518126,61,22,17,-14,-9,27,-44,-27,8,3.40336710674065,0.925811420473104,0.834389839701114,Lombardia
2020-07-02,5,23.75,72.3118329858136,61,13,12,-12,-10,36,-43,-28,7,3.34641438615099,0.932424582997249,0.879161576565386,Lombardia
2020-07-03,4,20.0333333333333,81.9603085301422,53,10,17,-22,-15,8,-48,-30,9,3.29468637391829,0.939017682988286,0.915990984238862,Lombardia
2020-07-04,0,23.5,68.3262501676235,46,10,12,-15,-13,82,-34,-16,1,3.24829001342894,0.946892248871767,0.953281286699609,Lombardia
2020-07-05,3,25.5,63.4283096987828,30,10,11,-20,-21,58,-37,4,-3,3.20700639512667,0.954511829438291,1.01268369382412,Lombardia
2020-07-06,2,27,57.7543138766321,46,19,15,-13,-12,54,-46,-29,6,3.17084680351469,0.959777243491091,1.03307246975257,Lombardia
2020-07-07,1,23.25,48.2062560283734,65,16,19,-8,-11,73,-42,-28,6,3.13977546436902,0.967476453678562,1.06399013133827,Lombardia
2020-07-08,1,24,50.1123106640164,55,18,21,-11,-11,78,-42,-26,6,3.11299918694044,0.973299850870215,1.10050945468629,Lombardia
2020-07-09,5,24.75,61.3335577987678,42,22,21,-10,-12,59,-43,-28,6,3.09047665470622,0.978674751939938,1.11568842656696,Lombardia
2020-07-10,3,24.6666666666667,64.6280141479724,59,24,25,-14,-10,52,-44,-29,6,3.0722666959802,0.985709495874731,1.17805118277124,Lombardia
2020-07-11,2,24.5,67.4064565268709,65,13,17,-17,-14,52,-32,-16,1,3.05785607999192,0.99061205808933,1.19349621584051,Lombardia
2020-07-12,1,23.25,61.704073255771,42,5,11,-18,-21,54,-34,6,-3,3.04744508093885,0.992647821530399,1.22557044572324,Lombardia
2020-07-13,1,21.75,55.100409290164,30,10,17,-12,-11,43,-44,-29,6,3.04080749962526,0.996233137232187,1.26051590869238,Lombardia
2020-07-14,3,21.5333333333333,59.8797924569726,38,14,20,-8,-12,60,-40,-28,6,3.03673444998544,1.00064710699441,1.24570053741638,Lombardia
2020-07-15,0,21.5,71.1882530660341,50,15,22,-10,-10,46,-41,-26,6,3.03480156946716,1.00440861614754,1.27695386136358,Lombardia
2020-07-16,4,22,65.821575614464,55,12,17,-8,-12,64,-40,-27,5,3.03570827248401,1.00816987385842,1.29317692431797,Lombardia
2020-07-17,4,24.25,64.7722019207713,46,15,22,-12,-11,68,-42,-29,5,3.03984689982944,1.00961660065408,1.2938512902931,Lombardia
2020-07-18,3,22.75,60.9269181569634,50,9,16,-17,-16,83,-28,-16,-1,3.04725215129537,1.01362396212642,1.28086631624368,Lombardia
2020-07-19,1,23.5,54.7414604674528,42,10,17,-20,-23,57,-30,6,-3,3.05748490199539,1.01635939656971,1.28328433513063,Lombardia
2020-07-20,1,25,65.272446801235,30,11,20,-13,-14,62,-42,-28,5,3.07081661524642,1.01852530777363,1.27296941621499,Lombardia
2020-07-21,1,25,69.2802003437317,46,16,21,-10,-13,78,-40,-26,5,3.08775703889096,1.01958421679533,1.25291597712415,Lombardia
2020-07-22,6,25.75,57.167396969805,55,11,17,-13,-12,65,-40,-27,6,3.10808158862307,1.01883981159777,1.26120345245929,Lombardia
2020-07-23,15,24.75,63.278410863713,50,12,18,-11,-12,65,-39,-27,5,3.1312242454904,1.01962267429205,NaN,Lombardia
2020-07-24,1,19.05,84.3003569802217,30,12,21,-17,-13,18,-43,-30,7,3.1565510701254,1.01994417366801,NaN,Lombardia
2020-07-25,3,22.5,65.8449993950723,55,10,17,-17,-16,89,-28,-16,-1,3.18422740201959,1.01964779970524,NaN,Lombardia
2020-07-26,8,24,64.3177031846354,42,12,23,-18,-20,53,-32,6,-3,3.21486963259072,1.0204007224882,NaN,Lombardia
2020-07-27,0,24,73.8262596454726,46,27,18,-11,-11,57,-43,-30,5,3.2486527677279,1.01999828105227,NaN,Lombardia
2020-07-28,4,26.75,66.7043841852739,72,26,18,-10,-13,74,-41,-28,5,3.28602831172243,1.02085136755501,NaN,Lombardia
2020-07-29,2,27.5,63.8154975781962,70,16,14,-11,-10,85,-40,-28,5,3.32728775679776,1.02278900017921,NaN,Lombardia
2020-07-30,11,28.5,59.4404365264243,59,25,16,-11,-14,54,-41,-30,5,3.37245761014655,1.02597726902836,NaN,Lombardia
2020-07-31,5,28,57.0574765008965,74,18,24,-13,-12,70,-39,-31,5,3.42253346342085,1.02574951595924,NaN,Lombardia
2020-08-01,3,29.25,48.8865859167841,61,NaN,NaN,-23,-18,57,-31,-22,-1,3.47911739577155,1.02697758441825,NaN,Lombardia
