date, pm25, pm10, no2
2018-01-14,104,42,15
2018-01-15,109,52,15
2018-01-16,122,57,20
2018-01-17,147,40,21
2018-01-18,85,26,35
2018-01-19,55,40,30
2018-01-20,87,55,28
2018-01-21,129,42,22
2018-01-22,93,41,26
2018-01-23,89,54,30
2018-01-24,119,57,38
2018-01-25,124,66,29
2018-01-26,153,78,22
2018-01-27,161,54,24
2018-01-28,127,38,17
2018-01-29,85,31,21
2018-01-30,68,27,23
2018-01-31,57,39,17
2018-02-01,85,40,23
2018-02-02,89,29,26
2018-02-03,68,15,21
2018-02-04,46,20,22
2018-02-05,46,22,27
2018-02-06,55,22,20
2018-02-07,55,28,27
2018-02-08,76,39,25
2018-02-09,80,37,35
2018-02-10,68,56,31
2018-02-11,127,48,29
2018-02-12,107,37,16
2018-02-13,87,16,30
2018-02-14,38,38,38
2018-02-15,78,42,32
2018-02-16,76,59,33
2018-02-17,122,68,19
2018-02-18,155,38,14
2018-02-19,95,22,28
2018-02-20,57,35,19
2018-02-21,85,33,21
2018-02-22,76,19,21
2018-02-23,57,17,33
2018-02-24,57,17,33
2018-02-25,63,24, 
2018-02-26,70,21, 
2018-02-27,61,27, 
2018-02-28,68,41,21
2018-03-01,89,56,26
2018-03-02,139,62,28
2018-03-03,153,57,30
2018-03-04,147,41,26
2018-03-05,89,51,31
2018-03-06,107,52,31
2018-03-07,124,50,23
2018-03-08,102,41,43
2018-03-09,80,43,29
2018-03-10,76,37,25
2018-03-11,70,22,14
2018-03-12,5,25,20
2018-03-13,53,34,33
2018-03-14,74,31,23
2018-03-15,63,22,19
2018-03-16,55,13,24
2018-03-17,46,18,16
2018-03-18,55,4,10
2018-03-19,17,7,19
2018-03-20,17,27,20
2018-03-21,68,27,31
2018-03-22,70,21,27
2018-03-23,61,27,33
2018-03-24,72,20,21
2018-03-25,55,22,16
2018-03-26,61,39,23
2018-03-27,87,46,25
2018-03-28,102,39,17
2018-03-29,91,42,17
2018-03-30,87,34,15
2018-03-31,78,13,12
2018-04-01,25,10,10
2017-07-02,17,14,20
2017-07-03,34,17,21
2017-07-04,42,19,14
2017-07-05,30,20,21
2017-07-06,42,29,25
2017-07-07,61,23,27
2017-07-08,38,34,25
2017-07-09,65,24,22
2017-07-10,46,30,16
2017-07-11,55,22,12
2017-07-12,53,25,18
2017-07-13,57,30,18
2017-07-14,63,15,12
2017-07-15,34,12,15
2017-07-16,30,10,11
2017-07-17,17,11,17
2017-07-18,13,24,26
2017-07-19,38,30,27
2017-07-20,57,31,33
2017-07-21,42,40,23
2017-07-22,70,29,19
2017-07-23,63,30,17
2017-07-24,57,16,14
2017-07-25,30,12,16
2017-07-26,34,12,17
2017-07-27,17,20,26
2017-07-28,34,31,24
2017-07-29,57,33,16
2017-07-30,72,14,7
2017-07-31,34,24,17
2017-08-01,53,34,19
2017-08-02,70,42,20
2017-08-03,89,46,26
2017-08-04,85,43,25
2017-08-05,63,46,23
2017-08-06,68,39,16
2017-08-07,61,16,11
2017-08-08,21,22,11
2017-08-09,21,28,13
2017-08-10,42,24,14
2017-08-11,42,11,11
2017-08-12,13,7,13
2017-08-13,9,15,18
2017-08-14,21,16,16
2017-08-15,30,19,17
2017-08-16,25,24,21
2017-08-17,34,25,19
2017-08-18,46,29,17
2017-08-19,50,25,11
2017-08-20,46,10,11
2017-08-21,21,10,11
2017-08-22,13,19,12
2017-08-23,17,26,15
2017-08-24,30,32,22
2017-08-25,53,34,22
2017-08-26,61,41,17
2017-08-27,74,30,16
2017-08-28,53,39,21
2017-08-29,65,25,20
2017-08-30,38,33,21
2017-08-31,50,29,19
2017-09-01,53,18,11
2017-09-02,34,10,10
2017-09-03,21,7,17
2017-09-04,13,7,17
2017-09-05,13, , 
2017-04-02,70,28,15
2017-04-03,63,32,30
2017-04-04,63,28,32
2017-04-05,57,14,27
2017-04-06,38,17,26
2017-04-07,49,18,31
2017-04-08,50,28,43
2017-04-09,62,30,35
2017-04-10,64,28,22
2017-04-11,61,26,20
2017-04-12,61,20,18
2017-04-13,42,33,22
2017-04-14,56,38,25
2017-04-15,71,24,13
2017-04-16,47,17,11
2017-04-17,34,6,15
2017-04-18,25,12,16
2017-04-19,29,10,25
2017-04-20,21,7,25
2017-04-21,29,15,28
2017-04-22,41,26,26
2017-04-23,49,25,16
2017-04-24,52,25,13
2017-04-25,42,28,9
2017-04-26,45,20,25
2017-04-27,30,21,21
2017-04-28,41,8,28
2017-04-29,18,16,20
2017-04-30,37,17,17
2017-05-01,34,19,11
2017-05-02,45,10,14
2017-05-03,18,19,26
2017-05-04,24,13,20
2017-05-05,17,14,42
2017-05-06,20,30,20
2017-05-07,41,11,18
2017-05-08,18,13,19
2017-05-09,20,8,15
2017-05-10,21,15,15
2017-05-11,33,18,19
2017-05-12,37,38,19
2017-05-13,70,20,15
2017-05-14,55,20,12
2017-05-15,38,15,19
2017-05-16,38,11,17
2017-05-17,21,19,20
2017-05-18,41,20,18
2017-05-19,38,20,19
2017-05-20,52,19,17
2017-05-21,50,18,35
2017-05-22,46,19,23
2017-05-23,46,20,22
2017-05-24,22,21,21
2017-05-25,37,24,12
2017-05-26,58,17,16
2017-05-27,22,19,16
2017-05-28,37,20,16
2017-05-29,45,22,16
2017-05-30,46,26,22
2017-05-31,56,22,24
2017-06-01,53,20,26
2017-06-02,34,20,19
2017-06-03,45,20,16
2017-06-04,30,17,21
2017-06-05,37,19,20
2017-06-06,41,24,17
2017-06-07,56,15,17
2017-06-08,34,12,17
2017-06-09,25,23,18
2017-06-10,41,24,18
2017-06-11,42,32,15
2017-06-12,68,27,22
2017-06-13,43,31,20
2017-06-14,64,32,25
2017-06-15,65,23,20
2017-06-16,53,39,22
2017-06-17,83,30,18
2017-06-18,62,14,12
2017-06-19,31,16,21
2017-06-20,17,27,23
2017-06-21,44,21,26
2017-06-22,30,36,23
2017-06-23,68,31,15
2017-06-24,53,36,12
2017-06-25,56,70,11
2017-06-26,38,24,14
2017-06-27,34,20,16
2017-06-28,41,19,12
2017-06-29,38,19,10
2017-06-30,38,13,11
2017-07-01,17,13,12
2017-01-03,165,68,37
2017-01-04,163,57,28
