date,pm25,pm10,o3,so2
2018-07-21,61,10,27,6
2018-07-22,34,7,20,4
2018-07-23,21,10,39,5
2018-07-24,34,15,40,7
2018-07-25,53,18,36,8
2018-07-26,57,18,37,7
2018-07-27,53,18,41,9
2018-07-28,53,12,31,6
2018-07-29,46,15,33,9
2018-07-30,53,21,27,12
2018-07-31,68,18,35,9
2018-08-01,59,28,41,7
2018-08-02,59,13,11,17
2018-08-03,42,18,33,6
2018-08-04,50,17,35,7
2018-08-05,53,18,31,6
2018-08-06,57,14,29,5
2018-08-07,50,13,28,5
2018-08-08,42,23,38,12
2018-08-09,61,15,32,6
2018-08-10,42,13,38,6
2018-08-11,38,10,30,3
2018-08-12,30,13,31,6
2018-08-13,42,15,33,7
2018-08-14,46,8,27,4
2018-08-15,17,8,20,5
2018-08-16,21,10,22,9
2018-08-17,30,14,31,5
2018-08-18,46,10,35,4
2018-08-19,30,11,32,2
2018-08-20,38,11,29,4
2018-08-21,38,11,32,4
2018-08-22,38,13,35,3
2018-08-23,42,11,33,3
2018-08-24,34,13,18,6
2018-08-25,42,10,21,4
2018-08-26,17,3,28,1
2018-08-28,21,10,22,6
2018-08-29,38,12,24,8
2018-08-30,38,11,20,7
2018-08-31,38,9,15,7
2018-09-01,25,9,23,3
2018-09-02,13,7,9,4
2018-09-03,13,9,2,5
2018-09-04,21,10,17,5
2018-09-05,25,11,24,4
2018-09-06,34,15,49,5
2018-09-07,50,10,25,6
2018-09-08,30,11,22,5
2018-09-09,30,13,23,6
2018-09-10,42,21,21,9
2018-09-11,53,22,23,9
2018-09-12,53,26,29,9
2018-09-13,65,30,26,10
2018-09-14,70,42,17,11
2018-09-15,76,18,23,4
2018-09-16,50,20,22,4
2018-09-17,59, ,23,9
2018-09-19,50,16,14,8
2018-09-20,38,19,13,12
2018-09-21,50,22,28,9
2018-09-22,57,23,14,14
2018-09-23,61,26,23,6
2018-09-24,61,5,31,1
2018-09-25,9,7,17,11
2018-09-27,30,20,6,16
2018-09-28,42,20,3,24
2018-09-29,46,19,24,8
2018-09-30,53,18,16,13
2018-10-01,53,13,13,13
2018-04-03,25,17,23,11
2018-04-04,46,16,16,18
2018-04-05,50,11,7,15
2018-04-06,46,8,24,8
2018-04-07,21,16,25,7
