date, pm25, pm10, no2
2018-12-10, ,34,28
2018-12-11, ,27,29
2018-12-12, ,27,30
2018-12-13, ,30,28
2018-12-14, ,29,30
2018-08-19, ,21,19
2018-04-02, ,25,14
2018-04-03, ,32,42
2018-04-04, ,33,36
2018-04-05, ,36,33
2018-04-06, ,46,31
2018-04-07, ,39,31
2018-04-08, ,28,30
2018-04-09, ,32,24
2018-04-10, ,28,24
2018-04-11, ,27,34
2018-04-12, ,33,28
2018-04-13, ,44, 
2018-04-18, ,60,7
2018-04-19, ,45,23
2018-04-20, ,23,24
2018-04-21, ,32,29
2018-04-22, ,36,22
2018-04-23, ,38,31
2018-04-24, ,40,30
2018-04-25, ,38,27
2018-04-26, ,46,34
2018-04-27, ,38,50
2018-04-28, ,39,38
2018-04-29, ,49,24
2018-04-30, ,45,27
2018-05-01, ,35,21
2018-05-02, ,26,19
2018-05-03, ,35,25
2018-05-04, ,40,26
2018-05-05, ,21,28
2018-05-06, ,23,29
2018-05-07, ,22,29
2018-05-08, ,21,37
2018-05-09, ,22,33
2018-05-10, ,18,30
2018-05-11, ,20,33
2018-05-12, ,26,28
2018-05-13, ,29,25
2018-05-14, ,24,23
2018-05-15, ,20,30
2018-05-16, ,17,34
2018-05-17, ,18,31
2018-05-18, ,18,32
2018-05-19, ,20,30
2018-05-20, ,20,25
2018-05-21, ,19,37
2018-05-22, ,17,33
2018-06-06, ,33,27
2018-06-07, ,23,39
2018-03-31, ,28,34
2018-04-01, ,30,20
2019-01-02, , ,20
2019-01-03, , ,9
2019-01-04, , ,2
2019-01-05, , ,11
2019-01-06, , ,24
2019-01-07, , ,32
2019-01-08, , ,22
2019-01-09, , ,29
2019-01-10, , ,21
2019-01-11, , ,21
2019-01-12, , ,19
2019-01-13, , ,26
2019-01-14, , ,27
2019-01-15, , ,27
2019-01-16, , ,22
2019-01-17, , ,42
2019-01-18, , ,28
2019-01-19, , ,30
2019-01-20, , ,37
2019-01-21, , ,29
2019-01-22, , ,35
2019-01-23, , ,27
2019-01-24, , ,33
2019-01-25, , ,25
2019-01-26, , ,24
2019-01-27, , ,23
2019-01-28, , ,25
2019-01-29, , ,20
2019-01-30, , ,25
2019-01-31, , ,32
2019-02-01, , ,33
2019-02-02, , ,22
2019-02-03, , ,17
2019-02-04, , ,20
2019-02-17, , ,18
2018-12-06, , ,32
2018-12-07, , ,39
2018-12-08, , ,37
2018-12-09, , ,18
2018-12-15, , ,23
2018-12-16, , ,18
2018-12-17, , ,23
2018-12-18, , ,18
2018-12-19, , ,25
2018-12-20, , ,34
2018-12-21, , ,38
2018-12-22, , ,34
2018-12-23, , ,39
2018-12-24, , ,34
2018-12-25, , ,26
2018-12-26, , ,8
2018-12-27, , ,20
2018-12-28, , ,40
2018-12-29, , ,38
2018-12-30, , ,37
2018-12-31, , ,29
2018-07-16, , ,28
2018-07-17, , ,31
2018-07-18, , ,20
2018-07-19, , ,26
2018-07-20, , ,31
2018-07-21, , ,34
2018-07-22, , ,23
2018-07-23, , ,21
2018-07-24, , ,20
2018-07-25, , ,16
2018-07-26, , ,16
2018-07-27, , ,24
2018-07-28, , ,27
2018-07-29, , ,18
2018-07-30, , ,19
2018-07-31, , ,27
2018-08-01, , ,30
2018-08-02, , ,26
2018-08-03, , ,30
2018-08-04, , ,26
2018-08-05, , ,18
