date, pm25, pm10, o3, no2, so2
2019-06-15,53,34,53,10,7
2019-06-16,59,20,42,22,7
2019-06-17,38,23,49,20,7
2019-06-18,55,25,49,31,7
2019-06-19,57,17,53,17,7
2019-06-20,46,13,52,24,7
2019-06-21,38,19,42,24,7
2019-06-22,42,26,52,13,7
2019-06-23,57,17,40,22,7
2019-06-24,42,18,48,22,7
2019-06-25,46,20,61,23,7
2019-06-26,53,30,60,37,7
2019-06-27,68,37,79,32,7
2019-06-28,76,35,92,19,7
2019-06-29,74,24,75,6,7
2019-06-30,50,24,57,36,7
2019-07-01,57,27,68,22,7
2020-07-01, ,19,48,13,5
2020-05-05, ,10,33,21,5
2020-02-28, ,13,28,38,5
2020-01-01, ,46,7,31,5
2019-08-23, ,28,38,21,7
2019-06-12, ,24,42,12,7
2019-08-21, , ,51,21,7
2019-08-22, , ,40,26,7
